RegionID,RegionName,SizeRank,tier,date,income,zri,PercentIncomeSpentOnRent
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2012-12-31,13e4,1398,0.12904615384615384
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2013-03-31,21e3,734,0.41942857142857143
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2013-03-31,131e3,1416,0.12970992366412215
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2013-06-30,21e3,751,0.42914285714285716
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2013-06-30,132e3,1436,0.13054545454545455
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2013-09-30,21600,776,0.4311111111111111
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2013-09-30,133e3,1456,0.13136842105263158
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2013-12-31,22200,802,0.4335135135135135
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2013-12-31,134e3,1474,0.132
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2014-03-31,22800,823,0.43315789473684213
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2014-03-31,135e3,1492,0.13262222222222222
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2014-06-30,23400,836,0.4287179487179487
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2014-06-30,136e3,1511,0.1333235294117647
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2014-09-30,23508.225,842,0.42980701435348695
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2014-09-30,137496,1531,0.13361843253621924
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2014-12-31,23616.45,850,0.43190233925928745
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2014-12-31,138992,1553,0.13407965926096466
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2015-03-31,23724.675,863,0.4365075601667884
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2015-03-31,140488,1571,0.1341893969591709
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2015-06-30,23832.9,877,0.4415744621930189
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2015-06-30,141984,1585,0.13395875591615958
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2015-09-30,23941.125,900,0.45110662092946763
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2015-09-30,143480,1603,0.1340674658488988
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2015-12-31,24049.35,934,0.466041701750775
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2015-12-31,144976,1632,0.1350844277673546
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2016-03-31,24157.575,967,0.4803462268046358
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2016-03-31,146472,1657,0.13575290840570212
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2016-06-30,24265.8,996,0.4925450634225948
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2016-06-30,147968,1673,0.13567798442906576
394974,"Philadelphia, PA",5,Bottom Tier,2010-12-31,18950,857,0.5426912928759895
394974,"Philadelphia, PA",5,Upper Tier,2010-12-31,131010,1537,0.14078314632470804
394974,"Philadelphia, PA",5,Bottom Tier,2011-03-31,18975,852,0.5388142292490119
394974,"Philadelphia, PA",5,Upper Tier,2011-03-31,131515,1527,0.13933011443561572
394974,"Philadelphia, PA",5,Bottom Tier,2011-06-30,19e3,847,0.5349473684210526
394974,"Philadelphia, PA",5,Upper Tier,2011-06-30,132020,1519,0.13806998939554613
394974,"Philadelphia, PA",5,Bottom Tier,2011-09-30,19100,842,0.5290052356020942
394974,"Philadelphia, PA",5,Upper Tier,2011-09-30,133140,1512,0.1362776025236593
394974,"Philadelphia, PA",5,Bottom Tier,2011-12-31,19200,841,0.525625
394974,"Philadelphia, PA",5,Upper Tier,2011-12-31,134260,1522,0.1360345598093252
394974,"Philadelphia, PA",5,Bottom Tier,2012-03-31,19300,841,0.5229015544041451
394974,"Philadelphia, PA",5,Upper Tier,2012-03-31,135380,1545,0.13694785049490324
394974,"Philadelphia, PA",5,Bottom Tier,2012-06-30,19400,840,0.5195876288659794
394974,"Philadelphia, PA",5,Upper Tier,2012-06-30,136500,1564,0.13749450549450548
394974,"Philadelphia, PA",5,Bottom Tier,2012-09-30,19550,838,0.5143734015345268
394974,"Philadelphia, PA",5,Upper Tier,2012-09-30,137500,1577,0.1376290909090909
394974,"Philadelphia, PA",5,Bottom Tier,2012-12-31,19700,837,0.5098477157360406
394974,"Philadelphia, PA",5,Upper Tier,2012-12-31,138500,1590,0.13776173285198556
394974,"Philadelphia, PA",5,Bottom Tier,2013-03-31,19850,839,0.5072040302267002
394974,"Philadelphia, PA",5,Upper Tier,2013-03-31,139500,1604,0.1379784946236559
394974,"Philadelphia, PA",5,Bottom Tier,2013-06-30,2e4,843,0.5058
394974,"Philadelphia, PA",5,Upper Tier,2013-06-30,140500,1616,0.13802135231316726
394974,"Philadelphia, PA",5,Bottom Tier,2013-09-30,20325,849,0.5012546125461255
394974,"Philadelphia, PA",5,Upper Tier,2013-09-30,141875,1623,0.13727577092511012
394974,"Philadelphia, PA",5,Bottom Tier,2013-12-31,20650,852,0.4951089588377724
394974,"Philadelphia, PA",5,Upper Tier,2013-12-31,143250,1621,0.13579057591623037
394974,"Philadelphia, PA",5,Bottom Tier,2014-03-31,20975,856,0.4897258641239571
394974,"Philadelphia, PA",5,Upper Tier,2014-03-31,144625,1617,0.13416767502160762
394974,"Philadelphia, PA",5,Bottom Tier,2014-06-30,21300,864,0.4867605633802817
394974,"Philadelphia, PA",5,Upper Tier,2014-06-30,146e3,1619,0.13306849315068492
394974,"Philadelphia, PA",5,Bottom Tier,2014-09-30,21398.5125,875,0.4906883130311044
394974,"Philadelphia, PA",5,Upper Tier,2014-09-30,147606,1624,0.13202715336774928
394974,"Philadelphia, PA",5,Bottom Tier,2014-12-31,21497.025,890,0.4968129310916278
394974,"Philadelphia, PA",5,Upper Tier,2014-12-31,149212,1634,0.13141034233171595
394974,"Philadelphia, PA",5,Bottom Tier,2015-03-31,21595.5375,911,0.5062156938673095
394974,"Philadelphia, PA",5,Upper Tier,2015-03-31,150818,1652,0.13144319643543875
394974,"Philadelphia, PA",5,Bottom Tier,2015-06-30,21694.05,935,0.5171925020915873
394974,"Philadelphia, PA",5,Upper Tier,2015-06-30,152424,1679,0.13218390804597702
394974,"Philadelphia, PA",5,Bottom Tier,2015-09-30,21792.5625,965,0.5313739492544761
394974,"Philadelphia, PA",5,Upper Tier,2015-09-30,154030,1709,0.13314289424138154
394974,"Philadelphia, PA",5,Bottom Tier,2015-12-31,21891.075,1007,0.5520057831787611
394974,"Philadelphia, PA",5,Upper Tier,2015-12-31,155636,1737,0.13392788300907246
394974,"Philadelphia, PA",5,Bottom Tier,2016-03-31,21989.5875,1039,0.5669956291813113
394974,"Philadelphia, PA",5,Upper Tier,2016-03-31,157242,1749,0.13347578891135956
394974,"Philadelphia, PA",5,Bottom Tier,2016-06-30,22088.1,1055,0.5731593029730941
394974,"Philadelphia, PA",5,Upper Tier,2016-06-30,158848,1745,0.1318241337630943
394692,"Houston, TX",6,Bottom Tier,2010-12-31,19350,682,0.42294573643410854
394692,"Houston, TX",6,Upper Tier,2010-12-31,126400,1217,0.1155379746835443
394692,"Houston, TX",6,Bottom Tier,2011-03-31,19675,712,0.4342566709021601
394692,"Houston, TX",6,Upper Tier,2011-03-31,127750,1216,0.11422309197651663
394692,"Houston, TX",6,Bottom Tier,2011-06-30,2e4,739,0.4434
394692,"Houston, TX",6,Upper Tier,2011-06-30,129100,1215,0.11293570875290472
394692,"Houston, TX",6,Bottom Tier,2011-09-30,2e4,764,0.4584
394692,"Houston, TX",6,Upper Tier,2011-09-30,130575,1217,0.11184376794945433
394692,"Houston, TX",6,Bottom Tier,2011-12-31,2e4,769,0.4614
394692,"Houston, TX",6,Upper Tier,2011-12-31,132050,1236,0.11232109049602423
394692,"Houston, TX",6,Bottom Tier,2012-03-31,2e4,769,0.4614
394692,"Houston, TX",6,Upper Tier,2012-03-31,133525,1274,0.11449541284403669
394692,"Houston, TX",6,Bottom Tier,2012-06-30,2e4,772,0.4632
394692,"Houston, TX",6,Upper Tier,2012-06-30,135e3,1323,0.1176
394692,"Houston, TX",6,Bottom Tier,2012-09-30,20150,781,0.4651116625310174
394692,"Houston, TX",6,Upper Tier,2012-09-30,136250,1373,0.12092477064220183
394692,"Houston, TX",6,Bottom Tier,2012-12-31,20300,794,0.46935960591133
394692,"Houston, TX",6,Upper Tier,2012-12-31,137500,1416,0.12357818181818182
394692,"Houston, TX",6,Bottom Tier,2013-03-31,20450,808,0.4741320293398533
394692,"Houston, TX",6,Upper Tier,2013-03-31,138750,1449,0.12531891891891891
394692,"Houston, TX",6,Bottom Tier,2013-06-30,20600,826,0.4811650485436893
394692,"Houston, TX",6,Upper Tier,2013-06-30,14e4,1475,0.12642857142857142
394692,"Houston, TX",6,Bottom Tier,2013-09-30,20850,846,0.4869064748201439
394692,"Houston, TX",6,Upper Tier,2013-09-30,140725,1497,0.12765322437377866
394692,"Houston, TX",6,Bottom Tier,2013-12-31,21100,867,0.49308056872037914
394692,"Houston, TX",6,Upper Tier,2013-12-31,141450,1512,0.128271474019088
394692,"Houston, TX",6,Bottom Tier,2014-03-31,21350,888,0.4991100702576112
394692,"Houston, TX",6,Upper Tier,2014-03-31,142175,1529,0.12905222437137331
394692,"Houston, TX",6,Bottom Tier,2014-06-30,21600,906,0.5033333333333333
394692,"Houston, TX",6,Upper Tier,2014-06-30,142900,1548,0.12999300209937018
394692,"Houston, TX",6,Bottom Tier,2014-09-30,21699.9,919,0.5082051069359766
394692,"Houston, TX",6,Upper Tier,2014-09-30,144471.9,1558,0.1294092484420846
394692,"Houston, TX",6,Bottom Tier,2014-12-31,21799.8,934,0.5141331571849284
394692,"Houston, TX",6,Upper Tier,2014-12-31,146043.8,1564,0.12850939238776313
394692,"Houston, TX",6,Bottom Tier,2015-03-31,21899.7,967,0.5298702721955095
394692,"Houston, TX",6,Upper Tier,2015-03-31,147615.7,1576,0.12811645373764444
394692,"Houston, TX",6,Bottom Tier,2015-06-30,21999.6,1025,0.5591010745649921
394692,"Houston, TX",6,Upper Tier,2015-06-30,149187.6,1602,0.12885789435583117
394692,"Houston, TX",6,Bottom Tier,2015-09-30,22099.5,1096,0.5951265865743569
394692,"Houston, TX",6,Upper Tier,2015-09-30,150759.5,1653,0.13157379800277927
